des,year,month,day_of_year,days_from_now,dist_km,diameter_km,v_rel,h,threat_score,kinetic_energy_megatons,india_visible,best_observatory,threat_category
2021 KR,2021,5,147,-1763.5506851665627,4529917.290300575,1.04175266592707e-05,8.74582864762544,27.56,2.0112928615525782e-11,8.116403565262765e-12,0,2,watch
2021 JX2,2021,5,147,-1763.4374907221184,2179139.3818119527,1.398828977978826e-05,3.00391725662292,26.92,1.9282688115713214e-11,2.3181291926651834e-12,0,2,watch
2021 KA1,2021,5,148,-1763.0867962776738,5128383.580629306,2.0595133930434124e-05,8.98132024688478,26.08,3.606818609578611e-11,6.613663115314214e-11,1,2,monitor
2021 KO1,2021,5,148,-1762.995129611007,2994753.463993295,2.922567971417673e-05,13.866853473752,25.32,1.3532607045619645e-10,4.5052361232925495e-10,0,4,watch
2021 JP3,2021,5,148,-1762.590268499896,4418658.294454859,2.1172133342583797e-05,7.05376005739372,26.02,3.379830223331543e-11,4.4320338592013975e-11,0,0,watch
2021 JN6,2021,5,148,-1762.404157388785,5248816.536124514,1.8610781937477092e-05,7.11740873327696,26.3,2.5236268210798496e-11,3.064823848239461e-11,0,2,monitor
2022 XL,2021,5,149,-1762.0444351665628,381991.64215381973,4.674817062853222e-06,9.68735160896825,29.3,1.1855389384992737e-10,8.998535423884639e-13,1,2,watch
2021 KQ,2021,5,149,-1761.901379611007,3089216.8297093236,2.0881640782838935e-05,11.8217203530089,26.05,7.990922342279725e-11,1.1943264984385455e-10,1,3,watch
2003 LW2,2021,5,149,-1761.8486018332294,411062.97020039824,2.342958631444978e-05,7.92454931866714,25.8,4.5167997539235914e-10,7.580726874848182e-11,1,3,watch
2021 LC,2021,5,149,-1761.6680462776737,3476431.825476201,2.107485622609677e-05,4.21254840355874,26.03,2.5537348755088275e-11,1.559019375983262e-11,0,3,watch
2021 KX2,2021,5,149,-1761.5819351665627,6847777.953016025,4.147292062487882e-05,14.4761912119054,24.56,8.767368527443197e-11,1.403040884362501e-09,0,0,monitor
